symbol,name,yahoo_symbol
SUCS,S&P Select Sector Capped 20% Consumer Staples In
SUEP,S&P Select Sector Capped 20% Energy Index Net TR
SUFP,S&P Select Sector Capped 20% Financials Index Ne
SUHC,S&P Select Sector Capped 20% HealthCare Index Ne
SUIP,S&P Select Sector Capped 20% Industrials Index N
SUJP,S&P Mitsubishi Corporate Group Index
SUKP,S&P United Kingdom [PDS]
SUKS,S&P United Kingdom [USD]
SUMI,S&P Select Sector Capped 20% Materials Index Net
SUNI,MAC GLOBAL SOLAR INDEX
SUPI,S&P Select Sector Capped 20% Utilities Index Net
SURI,S&P /Citigroup BMI REIT SUS Index
SUTP,S&P Select Sector Capped 20% Technology Index Ne
SVMI,Citi Asian Value & Momentum [K] Index
SVO,PHLX SIG ENERGY MLP INDX
SVTR,Next 11 Vietnam [TotalReturn] Index
SVUS,Credit Suisse US Value Index
SW0A,S&P /Citigroup BMI World Marine Index
SW0B,S&P Developed Ex-U.S.BMI [Capped] Energy
SW0C,S&P Developed Ex-U.S.BMI [Capped] Materials
SW0D,S&P Developed Ex-U.S.BMI [Capped] Industrials
SW0E,S&P Developed Ex-U.S.BMI [Capped] Consumer Discr
SW0F,S&P Developed Ex-U.S.BMI [Capped] Consumer Stapl
SW0G,S&P Developed Ex-U.S.BMI [Capped] HealthCare
SW0H,S&P Developed Ex-U.S.BMI [Capped] Financials
SW0I,S&P Developed Ex-U.S.BMI [Capped] Information Te
SW1A,S&P Developed Ex-U.S.BMI [Capped] Utilities
SW1B,S&P Developed Ex-U.S.Cap Range Companies Between
SW1C,S&P Emerging Under USD 2 Billion
SW1J,S&P Developed Ex-U.S.BMI [Capped] Telecommunicat
SWCH,Credit Suisse Water Index  [Chf]
SWCT,S&P World Commodity Index Total Return World Com
SWDI,VTL Navellier Revenue Weighted Index
SWDR,VTL Revenue Weighted ADR Index
SWER,S&P World Commodity Index Excess Return
SWET,Credit Suisse Water Index [Euro]
SWFI,Revenue Shares Large Cap Fund Financials [Sector
SWIB,SGI Wise Bottom
SWIT,SGI Wise Top
SWML,Wachovia MLP Index
SWSP,S&P World Commodity Index
SWTE,Wisdom Tree Earnings 500 Index
SWTI,Revenue Shares Large Cap Fund Information Techno
SWTM,Wisdom Tree Mid Cap Earnings Index
SWTS,Wisdom Tree Small Cap Earnings Index
SWTT,Wisdom Tree Earnings Index
SWTV,Wisdom Tree Large Cap Value Index
SWUB,SGI Wise US Bottom
SWUL,SGI Wise US Long/Short [NEWVA]
SWUT,SGI WISE US Top
SXTR,S&P 500 Utilities [Industry Group] [TR]
SYTR,S&P 500 Transportation [Industry Group] [TR]
SZTR,S&P 500 Retailing [Industry Group] [TR]
TACK,AMEX Tick
TACX,AMEX Tick
TBO,AMEX Tobacco Index Settlement
TICK,NYSE Tick
TICX,NYSE Tick
TIKI,DOW Tick
TIKX,DOW Tick
TNX,10-YEAR TREASURY NOTE
TOB,AMEX Tobacco Index
TOOC,Tsx Capped Composite Index
TQCK,NASD Tick
TQCX,NASD Tick
TRA,Nasdaq Transportation
TRIA,AMEX Trin
TRIN,NYSE Trin
TRIQ,NASD Trin
TSE,TSX 60 INDEX
TSX,TSX COMPOSITE INDEX
TTCD,Tsx Consumer Discretionary Capped Index
TTCS,Tsx Consumer Staples Capped Index
TTEN,Tsx Capped Energy Index
TTFS,Tsx Financials Capped Index
TTGD,Tsx Global Gold Index
TTHC,Tsx Health Care Capped Index
TTIN,Tsx Industrials Capped Index
TTMN,Tsx Metals And Mining Capped Index
TTMT,Tsx Materials Capped Index
TTRE,Tsx Real Estate Capped Index
TTTK,Tsx Information Tech Capped Index
TTTS,Tsx Telecom Services Capped Index
TTUT,Tsx Utilities Capped Index
TXBE,Tsx Global Base Metals Ew Index
TXBM,Tsx Global Base Metals Index
TXCT,Tsx Clean Technology Index
TXDC,Tsx Composite Dividend Index
TXDE,Tsx Diversified Banks Ew Index
TXDV,Tsx Canadian Dividend Aristocrats Index
TXEC,Tsx Equity Capped Index
TXEI,Tsx Equity Income Index
TXEQ,Tsx Equity Index
TXEW,Tsx 60 Equal Weight Index
TXFO,Tsx Completion Index
TXGM,Tsx Global Mining Index
TXLS,Tsx 60 130/30 Strategy Index
TXMC,Tsx Megacap Index
TXOE,Tsx Oil And Gas Ew Index
TXPR,Tsx Preferred Share Index
TXSC,Tsx 60 Capped Index
TXSI,Tsx 60 Shariah Index
TXSX,Tsx 60 Index
TXTW,Tsx Smallcap Index
TXX,CBOE TECHNOLOGY INDEX
TYX,30-YEAR TREASURY BOND
UNCA,AMEX Unchanged Stocks
UNCD,OTC Unchanged Stocks
UNCE,ETFs  Unchanged Stocks
UNCN,NYSE Unchanged Stocks
UNCQ,NASD Unchanged Stocks
UNCT,Stocks Unchanged Stocks
UOI,US Oil Iopv
UTY,Phlx Utility Index
UUO,The Select Utility Index
UVCA,AMEX Unchanged Volume
UVCD,OTC Unchanged Volume
UVCE,ETFs  Unchanged Volume
UVCN,NYSE Unchanged Volume
UVCQ,NASD Unchanged Volume
UVCT,Stocks Unchanged Volume
VFWA,VOL Index First Forward Implied Volatility
VFWB,VOL Index Second Forward Implied Volatility
VFY,Mini Biotechnology Index
VGH,Mini Pharmaceutical Index
VIO,CBOE OIL INDEX REDUCED LEAP 199
VIX,CBOE Volatility Index
VJW,Mini Securities Broker Dealer In
VLA,Value Line Index
VLG,Value Line Geometric
VVOL,VOL Index Average Forward Implied Volatility
VWA,CBOE MARKET VOLATILITY -SPX ASK
VWB,CBOE MARKET VOLATILITY -SPX BID
VXB,JUMBO CBOE VOLATILITY INDEX
VXD,CBOE DJIA VOLATILITY INDEX
VXDE,DEC CBOE VOLATILITY INDEX
VXH,Morgan Stanley Healthcare Provi
VXJU,JUN CBOE VOLATILITY INDEX
VXMA,MAR CBOE VOLATILITY INDEX
VXN,CBOE NASDAQ Volatility Index
VXO,CBOE OEX VOLATILITY INDEX
VXP,Morgan Stanley Healthcare Produ
VXSE,SEP CBOE VOLATILITY INDEX
VXTC,Tsx Venture 30 Index
VXTU,S&P/Tsx Venture 30 Usd Index
VXV,CBOE S&P 500 3M VOLATILITY INDEX
WMX,ISE Walmart Suplr Index
XAH,Internet Architecture Holders
XAL,AMEX Airline Index
XAO,AMEX Airline Index Final Settle
XAU,Phlx Gold Silver Index
XAX,AMEX Composite Index
XBD,AMEX Securities Broker Dealer
XBEL,Brussels BEL 20
XBS,AMEX Securities Broker/Dealer I
XCI,AMEX Computers Index
XCM,PHLX CHEMICALS INDEX
XDA,PHLX AUS DOLLAR
XDB,PHLX BRITISH POUND
XDC,PHLX CAN DOLLAR
XDD,DANISH WCO
XDE,PHLX EURO INDEX
XDH,Broadband Holders Index
XDM,MEXICAN WCO
XDN,PHLX JAPAN YEN
XDP,COLOMBIAN WCO
XDR,SPECIAL DRAWING RIGHTS
XDS,PHLX SWISS FRANC
XDV,NORWEGIAN WCO
XDW,PHLX KOREA WON
XDZ,NEW ZEALAND WCO
XEB,PHLX BRL SPOT
XEH,SWEDISH WCO
XEN,INDIAN WCO
XEO,S& P 100 INDEX[EUROPEAN    STYLE
XEV,SOUTH AFRICAN WCO
XEX,Phlx Europe
XEY,PHLX YUAN SPOT
XFI,Financial Ndx
XHL,Healthcare Ndx
XIBX,IBEX 35
XID,Industrial Ndx
XII,AMEX Institutional Index
XIT,Info Tech Ndx
XJO,S&P/ASX 200
XKH,Market 2000 Holders Index
XMI,Major Market Index
XNA,Nat Resource Ndx
XNG,AMEX Natural Gas Index
XOI,AMEX Oil Index
XRH,Regional Bank Holders Index
XSH,Semiconductor Holders Index
XSP,S& P 500 MINI-SPX OPTIO    IND
XST,The Select Ten Index
XSV,AMEX Institutional Index Open S
XTC,AMEX North Ameican Telecom Index
XTV,North American Telecommunicatio
XUH,Utilities Holders Index
XUO,Claymore Zacks Sec Iopv
XWH,Software Holders Index
YIH,Internet Infrastructure Holders
ZAX,ZACKS MICRO CAP INDEX
ZIO,CBOE OIL INDEX REDUCED 10% LEAP
ZOC,CBOE TECHNOLOGY INDEX REDUCED L
ZWI,PALISADES WATER INDEX
