symbol,name,yahoo_symbol
M3HD,3-Month Highs Otcbb
M3HE,3-Month Highs Etfs
M3HH,3-Month Highs Price Gt $10
M3HL,3-Month Highs Price Lt $10
M3HN,3-Month Highs Nyse
M3HQ,3-Month Highs Nasdaq
M3HU,3-Month Highs Volume Lt 100K
M3HV,3-Month Highs Volume Gt 100K
M3HX,3-Month Highs Overall
M3LA,3-Month Lows Amex
M3LD,3-Month Lows Otcbb
M3LE,3-Month Lows Etfs
M3LH,3-Month Lows Price Gt $10
M3LL,3-Month Lows Price Lt $10
M3LN,3-Month Lows Nyse
M3LQ,3-Month Lows Nasdaq
M3LU,3-Month Lows Volume Lt 100K
M3LV,3-Month Lows Volume Gt 100K
M3LX,3-Month Lows Overall
M6HA,6-Month Highs Amex
M6HD,6-Month Highs Otcbb
M6HE,6-Month Highs Etfs
M6HH,6-Month Highs Price Gt $10
M6HL,6-Month Highs Price Lt $10
M6HN,6-Month Highs Nyse
M6HQ,6-Month Highs Nasdaq
M6HU,6-Month Highs Volume Lt 100K
M6HV,6-Month Highs Volume Gt 100K
M6HX,6-Month Highs Overall
M6LA,6-Month Lows Amex
M6LD,6-Month Lows Otcbb
M6LE,6-Month Lows Etfs
M6LH,6-Month Lows Price Gt $10
M6LL,6-Month Lows Price Lt $10
M6LN,6-Month Lows Nyse
M6LQ,6-Month Lows Nasdaq
M6LU,6-Month Lows Volume Lt 100K
M6LV,6-Month Lows Volume Gt 100K
M6LX,6-Month Lows Overall
MAHA,12-Month Highs Amex
MAHD,12-Month Highs Otcbb
MAHE,12-Month Highs Etfs
MAHH,12-Month Highs Price Gt $10
MAHL,12-Month Highs Price Lt $10
MAHN,12-Month Highs Nyse
MAHQ,12-Month Highs Nasdaq
MAHU,12-Month Highs Volume Lt 100K
MAHV,12-Month Highs Volume Gt 100K
MAHX,12-Month Highs Overall
MALA,12-Month Lows Amex
MALD,12-Month Lows Otcbb
MALE,12-Month Lows Etfs
MALH,12-Month Lows Price Gt $10
MALL,12-Month Lows Price Lt $10
MALN,12-Month Lows Nyse
MALQ,12-Month Lows Nasdaq
MALU,12-Month Lows Volume Lt 100K
MALV,12-Month Lows Volume Gt 100K
MALX,12-Month Lows Overall
MBO,CHINESE MPS BSKT
MDO,Mid Opn/Cls Avge
MEB,ENERGY INDS CPN
MEV,AMEX Mexico Index Settlement
MGD,Midcp 400Barra
MIA,Mid O/C/H/L Avg
MID,Midcap 400 Idx
MIH,Mid Hi/Lo Avge
MIV,Mid-Cap Settle
MLO,AMEX Merrill Lynch Tech 100
MMFI,Stocks Above 50-Day Average
MMOF,Stocks Above 150-Day Average
MMOH,Stocks Above 100-Day Average
MMTH,Stocks Above 200-Day Average
MMTW,Stocks Above 20-Day Average
MNG,AMEX MINI-NATURAL GAS INDEX
MOX,Morgan Stanley Internet Index
MOY,Morgan Stanley Internet Index F
MSH,AMEX Morgan Stanley Hi Tech 35
MUV,Mdcp 400Bar Val
MVH,Morgan Stanley High-Technology
MVW,VALUE 30 INDEX
MXX,Mexico IPC
MXY,AMEX Mexico Index
MXZ,PHLX MEDICAL DEVICE INDEX
MYHA,Ytd Highs Amex
MYHD,Ytd Highs Otcbb
MYHE,Ytd Highs Etfs
MYHH,Ytd Highs Price Gt $10
MYHL,Ytd Highs Price Lt $10
MYHN,Ytd Highs Nyse
MYHQ,Ytd Highs Nasdaq
MYHU,Ytd Highs Volume Lt 100K
MYHV,Ytd Highs Volume Gt 100K
MYHX,Ytd Highs Overall
MYLA,Ytd Lows Amex
MYLD,Ytd Lows Otcbb
MYLE,Ytd Lows Etfs
MYLH,Ytd Lows Price Gt $10
MYLL,Ytd Lows Price Lt $10
MYLN,Ytd Lows Nyse
MYLQ,Ytd Lows Nasdaq
MYLU,Ytd Lows Volume Lt 100K
MYLV,Ytd Lows Volume Gt 100K
MYLX,Ytd Lows Overall
NAST,NASDAQ Transportation Index
NBI,Nasdaq Biotechnology
NBZ,Nasdaq Biotech Index Final Set
NDFI,Nasdaq 100 Stocks Above 50-Day Average
NDOF,Nasdaq 100 Stocks Above 150-Day Average
NDOH,Nasdaq 100 Stocks Above 100-Day Average
NDTH,Nasdaq 100 Stocks Above 200-Day Average
NDTW,Nasdaq 100 Stocks Above 20-Day Average
NDX,NASDAQ 100 INDEX
NDXT,NASDAQ 100 TECHNOLOGY
NDXX,NASDAQ-100 Ex-Tech Sector Index
NDY,Nasdaq 100
NEX,Wilderhill New Energy Global In
NFA,Cts Feed Fa
NGV,AMEX Natural Gas Index Final Se
NI225,Nikkei 225
NNY,US 100
NNYE,ENERGY IDX
NNYI,INTERNATIONAL 100
NNYK,FINANCIAL
NNYL,WORLD LEADERS
NNYP,HEALTH CARE
NNYY,TMT IDX
NQGM,Ndaq Global Market Composite
NQGS,NASDAQ Global Select Market Composite Index
NSEI,NSE Nifty
NSHD,NYSE Declining Stocks
NSHF,NYSE Advances - Declines
NSHR,NYSE Advance Decline Ratio
NSHU,NYSE Advancing Stocks
NVLD,NYSE Declining Volume
NVLF,NYSE Advance Decline Volume Diff
NVLR,NYSE Advance Decline Vol Ratio
NVLU,NYSE Advancing Volume
NVOT,NYSE Total Volume
NWO,Deutsche Bank Energy Index Fina
NWV,AMEX Networking Index Settlemen
NWX,AMEX Networking Index
NXTQ,NASDAQ Q-50 Index
NYA,NYSE Composite
NZ50,NZSX 50 Index
OEX,S&P 100 Index
OFIN,Nasdaq Other Financial Index
OILBR,Crude Oil Brent NYMEX
OILSW,Crude Oil Light Sweet NYMEX
OIV,CBOE/NYMEX WTI Volatility Index
OIX,CBOE OIL INDEX
ONE,S&P 100 Index
OOI,S&P Gl 100 Id
OSX,Phlx Euro Style Oil Svc Index
OVX,CBOE CRUDE OIL VOLATILITY INDEX
OXH,Oil Service Holdrs Index
PHN,AMEX Telecom Index
PLD,Palladium Index
PLT,Platinum Index
PSE,NYSE Arca Tech 100 Index
QOMX,NASDAQ OMX 100 Index 300 AM
QQV,QQQ Volatility Index
QSHD,NASD Declining Stocks
QSHF,NASD Advances - Declines
QSHR,NASD Advance Decline Ratio
QSHU,NASD Advancing Stocks
QVLD,NASD Declining Volume
QVLF,NASD Advance Decline Volume Diff
QVLR,NASD Advance Decline Vol Ratio
QVLU,NASD Advancing Volume
RAG,Cboe Russell 3000 Growth Index
RAV,Cboe Russell 3000 Value Index
RDG,Cboe Russell Midcap Growth Index
RJY,S.V. FOR AMEX MINI-NATURAL GAS
RLG,Cboe 1000 Growth Index
RLX,S& P Retail Index
RMC,Cboe Russell Midcap Index
RMV,Cboe Russell Midcap Value Index
RMZ,THE MSCI REIT INDEX
RPE,AMEX Elec Pwr&Nat Gas Infrastr
RSC,Russell SmallCap Index
RSG,Russell SmallCap Growth
RSV,Russell SmallCap Value
RTCM,Tsx Income Trust Index
RTF,RUSSELL TOP 50 INDEX
RTG,Russell 2500 Growth
RTI,Russell 2500 Index
RTM,Russell Microcap Index
RTRE,Tsx Reit Capped Index
RTV,Russell 2500 Value
RUA,Russell 3000 Index
RUF,ISE Homebuilders Index
RUI,Russell 1000 Index
RUJ,Cboe Russell Value Index
RUO,Cboe Russell 2000 Growth Index
RUT,Russell 2000 Index
