close,net_change,date
12378.6102973,108.44,2008-01-24 00:00:00.0
12207.1717593,-171.44,2008-01-25 00:00:00.0
12383.8940834,176.72,2008-01-28 00:00:00.0
12480.3028582,96.41,2008-01-29 00:00:00.0
12442.8286211,-37.47,2008-01-30 00:00:00.0
12650.3594828,207.53,2008-01-31 00:00:00.0
12743.1915408,92.83,2008-02-01 00:00:00.0
12635.1584365,-108.03,2008-02-04 00:00:00.0
12265.1308288,-370.03,2008-02-05 00:00:00.0
12200.0996148,-65.03,2008-02-06 00:00:00.0
12247.0033779,46.90,2008-02-07 00:00:00.0
12182.1347419,-64.87,2008-02-08 00:00:00.0
12240.0125224,57.88,2008-02-11 00:00:00.0
12373.4078001,133.40,2008-02-12 00:00:00.0
12552.2436387,178.84,2008-02-13 00:00:00.0
12376.9845169,-175.26,2008-02-14 00:00:00.0
12348.2082047,-28.78,2008-02-15 00:00:00.0
12337.2177297,-10.99,2008-02-19 00:00:00.0
12427.2579348,90.04,2008-02-20 00:00:00.0
12284.3007917,-142.96,2008-02-21 00:00:00.0
12381.0166721,96.72,2008-02-22 00:00:00.0
12570.2150779,189.20,2008-02-25 00:00:00.0
12684.9227172,114.71,2008-02-26 00:00:00.0
12694.2849446,9.36,2008-02-27 00:00:00.0
12582.1824469,-112.10,2008-02-28 00:00:00.0
12266.3904435,-315.79,2008-02-29 00:00:00.0
12258.9006615,-7.49,2008-03-03 00:00:00.0
12213.7991483,-45.10,2008-03-04 00:00:00.0
12254.9929492,41.19,2008-03-05 00:00:00.0
12040.3944132,-214.60,2008-03-06 00:00:00.0
11893.6923792,-146.70,2008-03-07 00:00:00.0
11740.1518485,-153.54,2008-03-10 00:00:00.0
12156.8116767,416.66,2008-03-11 00:00:00.0
12110.2447713,-46.57,2008-03-12 00:00:00.0
12145.739825,35.50,2008-03-13 00:00:00.0
11951.0869041,-194.65,2008-03-14 00:00:00.0
11972.2536793,21.17,2008-03-17 00:00:00.0
12392.6583985,420.40,2008-03-18 00:00:00.0
12099.6613837,-293.00,2008-03-19 00:00:00.0
12361.3152891,261.65,2008-03-20 00:00:00.0
12548.6412493,187.33,2008-03-24 00:00:00.0
12532.6033466,-16.04,2008-03-25 00:00:00.0
12422.8617584,-109.74,2008-03-26 00:00:00.0
12302.455372,-120.41,2008-03-27 00:00:00.0
12216.4042898,-86.05,2008-03-28 00:00:00.0
12262.8897845,46.49,2008-03-31 00:00:00.0
12654.3605065,391.47,2008-04-01 00:00:00.0
12605.8342528,-48.53,2008-04-02 00:00:00.0
12626.0263852,20.19,2008-04-03 00:00:00.0
12609.416728,-16.61,2008-04-04 00:00:00.0
12612.4292638,3.01,2008-04-07 00:00:00.0
12576.4416731,-35.99,2008-04-08 00:00:00.0
12527.2640604,-49.18,2008-04-09 00:00:00.0
12581.9782255,54.71,2008-04-10 00:00:00.0
12325.4241565,-256.55,2008-04-11 00:00:00.0
12302.0566485,-23.37,2008-04-14 00:00:00.0
12362.4702058,60.41,2008-04-15 00:00:00.0
12619.2685345,256.80,2008-04-16 00:00:00.0
12620.4898328,1.22,2008-04-17 00:00:00.0
12849.3611397,228.87,2008-04-18 00:00:00.0
12825.016593,-24.34,2008-04-21 00:00:00.0
12720.2291963,-104.79,2008-04-22 00:00:00.0
12763.2188975,42.99,2008-04-23 00:00:00.0
12848.9540402,85.74,2008-04-24 00:00:00.0
12891.8623215,42.91,2008-04-25 00:00:00.0
12871.751609,-20.11,2008-04-28 00:00:00.0
12831.9372835,-39.81,2008-04-29 00:00:00.0
12820.1313996,-11.81,2008-04-30 00:00:00.0
13010.0025799,189.87,2008-05-01 00:00:00.0
13058.2031539,48.20,2008-05-02 00:00:00.0
12969.5368952,-88.67,2008-05-05 00:00:00.0
13020.831425,51.29,2008-05-06 00:00:00.0
12814.3505876,-206.48,2008-05-07 00:00:00.0
12866.7849958,52.43,2008-05-08 00:00:00.0
12745.8764612,-120.91,2008-05-09 00:00:00.0
12876.3111228,130.43,2008-05-12 00:00:00.0
12832.1815432,-44.13,2008-05-13 00:00:00.0
12898.3759126,66.19,2008-05-14 00:00:00.0
12992.6601436,94.28,2008-05-15 00:00:00.0
12986.7979116,-5.86,2008-05-16 00:00:00.0
13028.159215,41.36,2008-05-19 00:00:00.0
12828.680488,-199.48,2008-05-20 00:00:00.0
12601.1933192,-227.49,2008-05-21 00:00:00.0
12625.6192858,24.43,2008-05-22 00:00:00.0
12479.6334255,-145.99,2008-05-23 00:00:00.0
12548.3518115,68.72,2008-05-27 00:00:00.0
12594.028369,45.68,2008-05-28 00:00:00.0
12646.2185176,52.19,2008-05-29 00:00:00.0
12638.3207884,-7.90,2008-05-30 00:00:00.0
12503.8151324,-134.51,2008-06-02 00:00:00.0
12402.8544706,-100.96,2008-06-03 00:00:00.0
12390.4786475,-12.38,2008-06-04 00:00:00.0
12604.4501147,213.97,2008-06-05 00:00:00.0
12209.8079147,-394.64,2008-06-06 00:00:00.0
12280.3175382,70.51,2008-06-09 00:00:00.0
12289.7622453,9.44,2008-06-10 00:00:00.0
12083.7699271,-205.99,2008-06-11 00:00:00.0
12141.578048,57.81,2008-06-12 00:00:00.0
12307.3489412,165.77,2008-06-13 00:00:00.0
12269.0815936,-38.27,2008-06-16 00:00:00.0
12160.3046224,-108.78,2008-06-17 00:00:00.0
12029.055762,-131.25,2008-06-18 00:00:00.0
12063.0892754,34.03,2008-06-19 00:00:00.0
11842.685637,-220.40,2008-06-20 00:00:00.0
11842.3599574,-0.33,2008-06-23 00:00:00.0
11807.4308252,-34.93,2008-06-24 00:00:00.0
11811.8274992,4.40,2008-06-25 00:00:00.0
11453.4171496,-358.41,2008-06-26 00:00:00.0
11346.5128358,-106.90,2008-06-27 00:00:00.0
11350.013891,3.50,2008-06-30 00:00:00.0
11382.2561669,32.24,2008-07-01 00:00:00.0
11215.5082351,-166.75,2008-07-02 00:00:00.0
11288.5418752,73.03,2008-07-03 00:00:00.0
11231.9550526,-56.59,2008-07-07 00:00:00.0
11384.2102443,152.26,2008-07-08 00:00:00.0
11147.4412082,-236.77,2008-07-09 00:00:00.0
11229.0239366,81.58,2008-07-10 00:00:00.0
11100.5433524,-128.48,2008-07-11 00:00:00.0
11055.1924744,-45.35,2008-07-14 00:00:00.0
10962.5366412,-92.66,2008-07-15 00:00:00.0
11239.2828426,276.75,2008-07-16 00:00:00.0
11446.6592988,207.38,2008-07-17 00:00:00.0
11496.5696905,49.91,2008-07-18 00:00:00.0
11467.3399505,-29.23,2008-07-21 00:00:00.0
11602.4969656,135.16,2008-07-22 00:00:00.0
11632.3780647,29.88,2008-07-23 00:00:00.0
11349.281112,-283.10,2008-07-24 00:00:00.0
11370.6945428,21.41,2008-07-25 00:00:00.0
11131.0758106,-239.62,2008-07-28 00:00:00.0
11397.563106,266.49,2008-07-29 00:00:00.0
11583.6889713,186.13,2008-07-30 00:00:00.0
11378.0223327,-205.67,2008-07-31 00:00:00.0
11326.3207035,-51.70,2008-08-01 00:00:00.0
11284.1452012,-42.18,2008-08-04 00:00:00.0
11615.7684074,331.62,2008-08-05 00:00:00.0
11656.0712523,40.30,2008-08-06 00:00:00.0
11431.4337796,-224.64,2008-08-07 00:00:00.0
11734.3157652,302.88,2008-08-08 00:00:00.0
11782.3534995,48.04,2008-08-11 00:00:00.0
11642.4741309,-139.88,2008-08-12 00:00:00.0
11532.9643807,-109.51,2008-08-13 00:00:00.0
11615.9312472,82.97,2008-08-14 00:00:00.0
